name,metric,cluster_num,value,n,network_id,clustering_id
label_propagation,NLS,Entire Graph,0.87127504402606681,10000,1,2
label_propagation,Block_size_median,Entire Graph,2000.0,10000,1,2
label_propagation,Sample_block_num,Entire Graph,1,10000,1,2
label_propagation,Original_block_num,Entire Graph,39,10000,1,2
label_propagation,ANC,Entire Graph,0.02564102564102566,10000,1,2
label_propagation,Scikit-learn NMI,Entire Graph,5.5511151231257827e-07,10000,1,2
label_propagation,Adjusted Rand Score,Entire Graph,0.0,10000,1,2
label_propagation,Lancichinetti NMI,Entire Graph,0.0,10000,1,2
label_propagation,0.5_precision,Entire Graph,0.0,10000,2,1
label_propagation,0.5_recall,Entire Graph,0.0,10000,2,1
label_propagation,0.6_precision,Entire Graph,0.0,10000,2,1
label_propagation,0.6_recall,Entire Graph,0.0,10000,2,1
label_propagation,0.7_precision,Entire Graph,0.0,10000,2,1
label_propagation,0.7_recall,Entire Graph,0.0,10000,2,1
label_propagation,0.8_precision,Entire Graph,0.0,10000,2,1
label_propagation,0.8_recall,Entire Graph,0.0,10000,2,1
label_propagation,0.9_precision,Entire Graph,0.0,10000,2,1
label_propagation,0.9_recall,Entire Graph,0.0,10000,2,1
label_propagation,1.0_precision,Entire Graph,0.0,10000,2,1
label_propagation,1.0_recall,Entire Graph,0.0,10000,2,1
label_propagation,NLS,Entire Graph,0.88942445504719203,10000,2,1
label_propagation,Block_size_median,Entire Graph,2000.0,10000,2,1
label_propagation,Sample_block_num,Entire Graph,1,10000,2,1
label_propagation,Original_block_num,Entire Graph,29,10000,2,1
label_propagation,ANC,Entire Graph,0.03448275862068961,10000,2,1
label_propagation,Scikit-learn NMI,Entire Graph,1.5959455978986625e-06,10000,2,1
label_propagation,Adjusted Rand Score,Entire Graph,0.0,10000,2,1
label_propagation,Lancichinetti NMI,Entire Graph,0.0,10000,2,1
label_propagation,0.5_precision,Entire Graph,0.0,10000,2,2
label_propagation,0.5_recall,Entire Graph,0.0,10000,2,2
label_propagation,0.6_precision,Entire Graph,0.0,10000,2,2
label_propagation,0.6_recall,Entire Graph,0.0,10000,2,2
label_propagation,0.7_precision,Entire Graph,0.0,10000,2,2
label_propagation,0.7_recall,Entire Graph,0.0,10000,2,2
label_propagation,0.8_precision,Entire Graph,0.0,10000,2,2
label_propagation,0.8_recall,Entire Graph,0.0,10000,2,2
label_propagation,0.9_precision,Entire Graph,0.0,10000,2,2
label_propagation,0.9_recall,Entire Graph,0.0,10000,2,2
label_propagation,1.0_precision,Entire Graph,0.0,10000,2,2
label_propagation,1.0_recall,Entire Graph,0.0,10000,2,2
label_propagation,NLS,Entire Graph,0.88942445504719203,10000,2,2
label_propagation,Block_size_median,Entire Graph,2000.0,10000,2,2
label_propagation,Sample_block_num,Entire Graph,1,10000,2,2
label_propagation,Original_block_num,Entire Graph,29,10000,2,2
label_propagation,ANC,Entire Graph,0.03448275862068961,10000,2,2
label_propagation,Scikit-learn NMI,Entire Graph,1.5959455978986625e-06,10000,2,2
label_propagation,Adjusted Rand Score,Entire Graph,0.0,10000,2,2
label_propagation,Lancichinetti NMI,Entire Graph,0.0,10000,2,2
oslom,Modularity,Entire Graph,0.3657,10000,1,1
oslom,Coverage,Entire Graph,0.4280,10000,1,1
oslom,Conductance,Entire Graph,0.2355,10000,1,1
oslom,Modularity,Entire Graph,0.3657,10000,1,2
oslom,Coverage,Entire Graph,0.4280,10000,1,2
oslom,Conductance,Entire Graph,0.2355,10000,1,2
oslom,Modularity,Entire Graph,0.3643,10000,2,1
oslom,Coverage,Entire Graph,0.4260,10000,2,1
oslom,Conductance,Entire Graph,0.2454,10000,2,1
oslom,Modularity,Entire Graph,0.3643,10000,2,2
oslom,Coverage,Entire Graph,0.4260,10000,2,2
